Date,EUWAX Gold II
2000-10,19150.86776551032
2000-11,18884.869641248417
2000-12,17857.03019120935
2001-01,17345.620787937198
2001-02,17574.998756009376
2001-03,17781.789570507826
2001-04,18067.83804990682
2001-05,19224.189660210322
2001-06,19446.974661880053
2001-07,18508.971864370742
2001-08,18166.953985779575
2001-09,19562.19501203227
2001-10,18787.56437509903
2001-11,18869.018492770512
2001-12,19120.15787216987
2002-01,19919.02455068278
2002-02,20911.772693933723
2002-03,21054.634149310343
2002-04,20850.878864804465
2002-05,21203.59355953576
2002-06,19458.82626921279
2002-07,18977.947342283238
2002-08,19386.56267634085
2002-09,20007.180617135404
2002-10,19578.94488943429
2002-11,19586.680332801065
2002-12,19918.026406060202
2003-01,20706.694359716123
2003-02,19638.71632169637
2003-03,18730.23287454254
2003-04,18437.139003484586
2003-05,18630.19074980943
2003-06,18452.872446952544
2003-07,19101.735312377277
2003-08,20948.10532649896
2003-09,20293.238427676897
2003-10,20253.8565476217
2003-11,20240.48362676907
2003-12,20133.213692640715
2004-01,19671.960215579267
2004-02,19426.70306591766
2004-03,21123.46848503444
2004-04,19817.655189476158
2004-05,19647.17939398153
2004-06,19844.535370927802
2004-07,19813.012576383317
2004-08,20492.79507476191
2004-09,20413.200845518128
2004-10,20361.208652097743
2004-11,20783.24142085479
2004-12,19596.80295847178
2005-01,19736.76028799243
2005-02,20017.652554235756
2005-03,20096.350888641857
2005-04,20492.890029034013
2005-05,20483.01837300472
2005-06,22029.405457861332
2005-07,21619.385602290135
2005-08,21645.621036090273
2005-09,23950.363440348076
2005-10,23861.49169107285
2005-11,25665.85025005686
2005-12,26501.221624516707
2006-01,28602.933068192164
2006-02,28533.90964135993
2006-03,29303.14121273436
2006-04,31304.902091578715
2006-05,30925.89217679297
2006-06,29409.43143002517
2006-07,30191.992838283873
2006-08,29567.842934987217
2006-09,28846.58757287243
2006-10,28980.797903039518
2006-11,29857.197304907364
2006-12,29416.19831878554
2007-01,30602.965769960563
2007-02,30639.613810695308
2007-03,30281.33708853665
2007-04,30325.657862641478
2007-05,29857.420031324935
2007-06,29354.373830734483
2007-07,29588.691199057786
2007-08,29882.046795142793
2007-09,31934.735215421904
2007-10,33303.85982085253
2007-11,32347.694204951567
2007-12,34629.70093292754
2008-01,37838.02467996962
2008-02,39035.81278871032
2008-03,35978.878761285676
2008-04,34157.59216865398
2008-05,34807.71200590718
2008-06,35962.78866039556
2008-07,35837.03458475772
2008-08,34452.04212473449
2008-09,37686.933986866905
2008-10,34909.238620337404
2008-11,39001.8450774639
2008-12,37878.30952276471
2009-01,43723.945386297935
2009-02,45885.193718801704
2009-03,41970.07887996026
2009-04,40547.9801009948
2009-05,42168.66730610113
2009-06,40293.4382165141
2009-07,40476.012679065985
2009-08,40800.54485048993
2009-09,41441.96704577785
2009-10,42824.44391293932
2009-11,47695.61230302308
2009-12,46703.106743871285
2010-01,47061.76599554652
2010-02,49771.1872558544
2010-03,50434.99819778633
2010-04,53974.02706376113
2010-05,59793.64754643531
2010-06,61781.796494072034
2010-07,54683.57125972356
2010-08,59885.1162725773
2010-09,58361.531787859385
2010-10,59229.47396957907
2010-11,64866.8396227055
2010-12,64319.8094782057
2011-01,59064.17480396775
2011-02,62158.33185137021
2011-03,61727.476359341534
2011-04,62972.526769018
2011-05,65094.27685550007
2011-06,63480.86932988139
2011-07,69596.65162779705
2011-08,76483.86410264234
2011-09,73114.72573449729
2011-10,74953.89393804336
2011-11,79300.61586799899
2011-12,74158.69187412386
2012-01,80664.60338185249
2012-02,80241.1558734714
2012-03,75858.69232481747
2012-04,76155.03753058879
2012-05,76552.75379422166
2012-06,77376.13255357854
2012-07,80469.4717641191
2012-08,79663.52769705867
2012-09,83707.53341683235
2012-10,80628.12242671143
2012-11,81000.08995391875
2012-12,76859.39304671845
2013-01,74873.79339058849
2013-02,73735.33864437073
2013-03,76065.06463528804
2013-04,68485.69461444282
2013-05,65342.36921284773
2013-06,55537.79329382133
2013-07,60345.677716113954
2013-08,64223.28750865039
2013-09,59859.45716597893
2013-10,59150.97185540963
2013-11,56102.36189755401
2013-12,53094.327581858684
2014-01,56406.51067106286
2014-02,58524.720844606214
2014-03,57094.8983148099
2014-04,56696.30522986465
2014-05,56006.88512094548
2014-06,58675.763953052694
2014-07,58544.225794353246
2014-08,59415.21908492817
2014-09,58918.00392297777
2014-10,56653.05003773267
2014-11,57742.30209722371
2014-12,60197.073217132114
2015-01,67936.98163941845
2015-02,65822.21364910377
2015-03,67235.54348818457
2015-04,64134.96167032908
2015-05,66186.75309169794
2015-06,63780.178383162114
2015-07,61036.945107244275
2015-08,61676.06989690618
2015-09,60599.76823527808
2015-10,63191.10429497109
2015-11,61172.905999278686
2015-12,59461.87850086668
2016-01,62047.478848584804
2016-02,69120.00911940049
2016-03,66215.05940513223
2016-04,68710.59956276034
2016-05,66225.90768659498
2016-06,72500.2500944577
2016-07,73593.81383040962
2016-08,71675.2956874701
2016-09,72212.54994279197
2016-10,70819.32382459965
2016-11,67509.4811338415
2016-12,67013.02163570288
2017-01,68722.48923118672
2017-02,72208.52620669872
2017-03,70960.84892345946
2017-04,70613.54172570394
2017-05,68768.70643144581
2017-06,66338.76020118526
2017-07,65871.61066927439
2017-08,67603.63243465705
2017-09,66233.51970424489
2017-10,66511.50393051724
2017-11,65844.00386276547
2017-12,65881.69979685762
2018-01,65802.90589006686
2018-02,65754.90786722301
2018-03,65480.64226627939
2018-04,66255.20485710929
2018-05,67998.34472653636
2018-06,65367.57716604622
2018-07,63401.25968203098
2018-08,62896.1312523591
2018-09,62503.418156882144
2018-10,65419.74155820367
2018-11,65323.10409195596
2018-12,68215.656567608
2019-01,70196.84353199614
2019-02,70420.69874760437
2019-03,70266.92108652215
2019-04,69661.73950840671
2019-05,70804.43656388579
2019-06,75455.1417640011
2019-07,78018.50443192091
2019-08,84400.58280703181
2019-09,83127.80089023798
2019-10,82554.27375551574
2019-11,81028.19074011661
2019-12,82620.07638001542
2020-01,87355.29628241676
2020-02,89376.19386795037
2020-03,89497.4441208111
2020-04,95411.7361194735
2020-05,94604.22189693277
2020-06,96224.67863256196
2020-07,101068.42908403152
2020-08,99904.32082981235
2020-09,98216.91279844916
2020-10,98037.78593875017
2020-11,89661.23904885686
