Date,L&G Longer Dated All Commodities UCITS ETF
2010-06,57315.29723457191
2010-07,57085.18460911463
2010-08,57891.70747019498
2010-09,57469.590923690586
2010-10,59577.68816985081
2010-11,63297.58137951327
2010-12,68136.09676407182
2011-01,67648.85626781105
2011-02,68621.36874692609
2011-03,68420.1026068727
2011-04,68223.78630679163
2011-05,66999.17983859612
2011-06,63385.96814516278
2011-07,66137.42018420598
2011-08,66055.0823498865
2011-09,60394.95655938489
2011-10,61959.750871197844
2011-11,63372.83634467986
2011-12,63534.16688365371
2012-01,64152.57995317466
2012-02,64578.88252084687
2012-03,62283.97125041521
2012-04,62290.65535453177
2012-05,60787.51343937827
2012-06,62426.67248722048
2012-07,67397.27196222307
2012-08,66876.93439673325
2012-09,66334.61326027256
2012-10,63553.440849745544
2012-11,63778.89522664084
2012-12,61325.027547972226
2013-01,61094.234144220754
2013-02,60454.50823124032
2013-03,62580.09002478254
2013-04,59800.95166834934
2013-05,58783.186130301576
2013-06,55406.86738625052
2013-07,55449.13433733311
2013-08,57504.70557348952
2013-09,55234.60738269845
2013-10,54054.234293155554
2013-11,53766.86363163748
2013-12,53524.3252371662
2014-01,53902.22886908617
2014-02,56191.13896313572
2014-03,56542.56563035213
2014-04,57664.76941160021
2014-05,57176.62591496999
2014-06,57549.538934328775
2014-07,56296.580893161605
2014-08,56643.72982054429
2014-09,55568.62958995628
2014-10,55439.769148084095
2014-11,53517.70591383697
2014-12,51620.5836506215
2015-01,53748.24958305328
2015-02,55411.08470388089
2015-03,55057.45026176397
2015-04,55409.826362051565
2015-05,54994.62054792908
2015-06,54853.78466247816
2015-07,50138.799855795995
2015-08,48542.5834679391
2015-09,47001.83272036079
2015-10,47841.73872154734
2015-11,46635.37436227012
2015-12,44123.68151753208
2016-01,43328.60868135806
2016-02,43024.35422355636
2016-03,42794.4058707887
2016-04,46103.30423560751
2016-05,46973.06994043547
2016-06,49244.2447643863
2016-07,46973.57533128741
2016-08,46023.8241906829
2016-09,47351.32471656991
2016-10,48162.218391540286
2016-11,50169.41845048226
2016-12,51402.81227669531
2017-01,50899.628212050804
2017-02,51932.21363083717
2017-03,50166.387105607944
2017-04,48438.5804473378
2017-05,46480.788380138256
2017-06,45676.074613457335
2017-07,45490.102900462334
2017-08,45321.39038411709
2017-09,45426.37605518473
2017-10,46981.73523059694
2017-11,46238.03568583088
2017-12,46934.18135239217
2018-01,46164.50604929309
2018-02,46547.735624924746
2018-03,45983.77786740292
2018-04,48025.50809756611
2018-05,50454.13283447002
2018-06,48685.93402151484
2018-07,47528.60568345373
2018-08,47100.51853661331
2018-09,48007.64252815566
2018-10,47969.819504107145
2018-11,46012.312978818045
2018-12,44442.960068150576
2019-01,46737.16407673241
2019-02,47667.3450666681
2019-03,48265.333050670284
2019-04,48008.767629292044
2019-05,46637.728754140386
2019-06,46853.53856863039
2019-07,47492.061385028836
2019-08,46741.98819820947
2019-09,47939.79099350608
2019-10,47708.481564234775
2019-11,47571.88268413078
2019-12,48964.76892877595
2020-01,46501.96830715625
2020-02,44525.04726032252
2020-03,40277.08707921727
2020-04,40650.75466189796
2020-05,40988.65124972894
2020-06,41968.12746313763
2020-07,42098.30242011443
2020-08,44199.16488393302
2020-09,43946.020795930686
2020-10,44132.54987865194
2020-11,44879.841245987016
